OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
FUGITIVE FROM JUSTICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMBLING - BETTING / WAGERING,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMBLING OFFENSE,39B,39B Operating/Promoting/Assisting Gambling,Gambling Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATHER,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATHERING CAUSING ANNOYANCE,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAFFITI,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARASS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARASSMENT,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOR,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOR INCIDENT / VIOLATION,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARBOR RELATED INCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HATECRIM,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAZARDOUS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOME INVASION,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMICIDE,09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,64A,"64A Human Trafficking, Commercial Sex Acts",Human Trafficking,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,64B,"64B Human Trafficking, Involuntary Servitude",Human Trafficking,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDECENT ASSAULT,11D,11D Fondling,Sex Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INJURY BICYCLE NO M/V INVOLVED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTIMIDATING WITNESS,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTIGATE PERSON,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTIGATE PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVESTIGATION FOR ANOTHER AGENCY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVPER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVPROP,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVVEH,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDNAPPING - ENTICING OR ATTEMPTED,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDNAPPING/CUSTODIAL KIDNAPPING,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KILLING OF FELON BY POLICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABOR,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDLORD,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDLORD - TENANT SERVICE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LANDLORD/TENANT DISPUTES,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY,23U,23U Other Theft,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY ALL OTHERS,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY BICYCLE $200 & OVER,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY FROM MOTOR VEHICLE,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY IN A BUILDING $200 & OVER,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY IN A BUILDING $50 TO $199,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY IN A BUILDING UNDER $50,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY NON-ACCESSORY FROM VEH. $200 & OVER,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY NON-ACCESSORY FROM VEH. $50 TO $199,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY NON-ACCESSORY FROM VEH. UNDER $50,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY OTHER $200 & OVER,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY OTHER $50 TO $199,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY OTHER UNDER $50,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY PICK-POCKET,23A,23A Pocket-picking,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY PURSE SNATCH - NO FORCE,23B,23B Purse-snatching,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY SHOPLIFTING,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY SHOPLIFTING $200 & OVER,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY SHOPLIFTING $50 TO $199,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY SHOPLIFTING UNDER $50,23C,23C Shoplifting,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY THEFT FROM BUILDING,23D,23D Theft From Building,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY THEFT FROM COIN-OP MACHINE,23E,23E Theft From Coin-Operated Machine or Device,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY THEFT FROM MV - NON-ACCESSORY,23F,23F Theft From Motor Vehicle (except Theft of Motor Vehicle Parts or Accessories),Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY THEFT OF BICYCLE,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LARCENY THEFT OF MV PARTS & ACCESSORIES,23G,23G Theft of Motor Vehicle Parts or Accessories,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICENSE PLATE RELATED INCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICENSE PREMISE VIOLATION,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICENSE VIOLATION,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICVIOL,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUOR - DRINKING IN PUBLIC,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUOR LAW VIOLATION,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUOR VIOLATION,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V - LEAVING SCENE - PERSONAL INJURY,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V - LEAVING SCENE - PROPERTY DAMAGE,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - INVOLVING BICYCLE - NO INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - OTHER CITY VEHICLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - PERSONAL INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - POLICE VEHICLE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT - PROPERTY  DAMAGE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/V PLATES - LOST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSLAUG,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSLAUGHTER - VEHICLE - NEGLIGENCE,09B,09B Negligent Manslaughter,Homicide Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDASSIST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDICAL ASSISTANCE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING PERSON,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING PERSON - LOCATED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING PERSON - NOT REPORTED - LOCATED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING PERSON LOCATED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISSING PERSON REPORTED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR VEHICLE ACCIDENT RESPONSE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MURDER, NON-NEGLIGIENT MANSLAUGHTER",09A,09A Murder and Nonnegligent Manslaughter,Homicide Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVACC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOISY PARTY/RADIO-ARREST,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOISY PARTY/RADIO-NO ARREST,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSCENE MATERIALS - PORNOGRAPHY,370,370 Pornography/Obscene Material,Pornography/Obscene Material,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSCENE PHONE CALLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFENSES AGAINST CHILD/FAMILY,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING UNDER INFLUENCE,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING UNDER THE INFLUENCE,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING UNDER THE INFLUENCE ALCOHOL,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERATING UNDER THE INFLUENCE DRUGS,90D,90D Driving Under the Influence,Driving Under the Influence,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER BURGLARY,220,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER LARCENY,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER OFFENSE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSLOC,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSMISS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHONECALLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATES,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLICE SERVICE INCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSSESSION OF BURGLARIOUS TOOLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISON,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISONER - SUICIDE / SUICIDE ATTEMPT,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISONER ATTEMPT TO RESCUE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISONER ESCAPE / ESCAPE & RECAPTURE,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRISONER RELATED INCIDENTS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPDAM,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - ACCIDENTAL DAMAGE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - CONCEALING LEASED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - FOUND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - LOST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - LOST THEN LOCATED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - MISSING,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - RECEIVING STOLEN,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY - STOLEN THEN RECOVERED,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY FOUND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY LOST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY RELATED DAMAGE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPFOUND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPLOST,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTE - COMMON NIGHTWALKER,40A,40A Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION,40A,40A Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION - ASSISTING OR PROMOTING,40B,40B Assisting or Promoting Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION - COMMON NIGHTWALKER,40A,40A Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION - SOLICITING,40C,40C Purchasing Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSTITUTION CHARGES,40A,40A Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTECTIVE CUSTODY / SAFEKEEPING,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUBDRINK,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAPE AND ATTEMPTED,11A,11A Rape (except Statutory Rape),Sex Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECOVERED STOLEN PLATE,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECOVERED STOLEN PROPERTY,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPORT AFFECTING OTHER DEPTS.,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESIDENTIAL BURGLARY,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTRAIN,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESTRAINING ORDER VIOLATIONS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY,120,12U Other Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - BANK,120,12B Commercial Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - CAR JACKING,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - COMMERCIAL,120,12B Commercial Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - HOME INVASION,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - KNIFE - STREET,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - OTHER,120,12U Other Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - STREET,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - UNARMED - BUSINESS,120,12B Commercial Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - UNARMED - RESIDENCE,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBBERY - UNARMED - STREET,120,12A Personal Robbery,Robbery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
